순번,업체명,선정년도,지방청,주소,전화번호,팩스번호,업종,기업규모,주생산품목,연구분야
49,(주)넥스파시스템,2009,서울,서울특별시 송파구 백제고분로,02-2243-4011,0507-0314-3303,기계,중소기업,,
50,(주)넷스루,2008,서울,서울특별시 성동구 광나루로8길,026-243-4160,050-5318-3200,정보처리,벤처기업,,
51,(주)노리코리아,2016,서울,서울특별시 강남구 강남대로94길,02-6204-0204,026-499-0204,정보처리,중견기업,,
52,(주)노머스,2021,서울,서울특별시 강남구 도산대로,010-9678-6858,030334489888,정보처리,중소기업,,
53,(주)노비텍,2018,서울,서울특별시 송파구 백제고분로39길,070-7122-1000,070-7159-1315,기계,중소기업,,
54,(주)누리고,2018,서울,서울특별시 금천구 가산디지털1로,07077279711,0221692267,정보처리,중소기업,,
55,(주)누리랩,2021,서울,서울특별시 영등포구 영신로,02-2671-3344,02-2138-0909,정보처리,중소기업,소프트웨어자문,
56,(주)뉴아인,2021,서울,서울특별시 구로구 디지털로30길,026-953-8120,-,의료의약,중소기업,,
57,(주)니어스랩,2017,서울,서울특별시 강남구 논현로,02-566-1574,02-6935-1574,정보처리,중소기업,,
58,(주)다래파크텍,2020,서울,서울특별시 송파구 충민로,02-6901-0726,028610997,전기,중소기업,,
59,(주)다하미커뮤니케이션즈,2000,서울,서울특별시 중구 마른내로,02-593-4174,02-593-4175,정보처리,중소기업,해당사항없음,
60,(주)다해줘테크,2021,서울,서울특별시 노원구 공릉로,025945131,025945130,정보처리,중소기업,,
61,(주)단디코리아,2021,서울,서울특별시 금천구 가산디지털1로,025942912,025942917,정보처리,중소기업,,
62,(주)당신의집사,2019,서울,서울특별시 강남구 테헤란로79길,0215226796,07086735085,정보처리,중소기업,,
63,(주)대동몰드,2017,서울,서울특별시 금천구 범안로11길,02-808-6464,02-808-5821,기계,중소기업,,
64,(주)대신전자기술,2016,서울,서울특별시 강서구 양천로,02-6012-2131,02-6280-7171,통신기기,중소기업,,
65,(주)대화라벨앤택스,2012,서울,서울특별시 성동구 성수이로8길,070-4048-4140,02-6455-0891,전자,중소기업,,
66,(주)더기프팅컴퍼니,2020,서울,서울특별시 성동구 상원12길,070-4738-1661,02-6091-1661,정보처리,중소기업,,
67,(주)더블엔씨,2021,서울,서울특별시 강남구 테헤란로,02-6265-0017,,정보처리,중소기업,,
68,(주)더스윙,2020,서울,서울특별시 강남구 선릉로,02-6953-4356,0507-478-8480,정보처리,중소기업,,
69,(주)더스팟,2021,서울,서울특별시 성북구 개운사2길,0262291123,05041400588,정보처리,중소기업,,
70,(주)더즌,2021,서울,서울특별시 서초구 강남대로,026-105-6178,026-328-1210,정보처리,중소기업,,
71,(주)더커머스,2018,서울,서울특별시 강남구 언주로135길,070-7864-3072,070-7864-1234,정보처리,중소기업,,
72,(주)데이터플로,2021,서울,서울특별시 강남구 테헤란로8길,07043663299,07075001691,정보처리,중소기업,,
73,(주)덱스코윈,2013,서울,서울특별시 금천구 가산디지털1로,02-3402-5502,02-3402-5539,의료의약,중소기업,,
74,(주)도구공간,2020,서울,서울특별시 서대문구 연세로,070-7377-1316,0504-042-1316,정보처리,중소기업,,
75,(주)도서출판점자,2018,서울,서울특별시 성동구 아차산로17길,02-3426-7211,02-3426-7502,화학,중소기업,,
76,(주)도전하는사람들,2001,서울,서울특별시 구로구 디지털로26길,070-4162-0702,02-851-3344,정보처리,중소기업,기타소프트웨어자문,
77,(주)두두아이티,2017,서울,서울특별시 금천구 가마산로,02-6929-2210,042-367-0978,정보처리,중소기업,,
78,(주)두루안,2015,서울,서울특별시 금천구 디지털로10길,02-6230-6240,02-6230-6270,정보처리,중소기업,,
79,(주)드라스타,2021,서울,서울특별시 구로구 디지털로26길,02-2637-0114,02-2637-3114,기계,중소기업,,
80,(주)드로닉스,2020,서울,서울특별시 강남구 선릉로131길,0262237901,024544901,정보처리,중소기업,,
81,(주)드림에이스,2018,서울,서울특별시 성동구 성수일로,070-4192-5380,026-280-3408,정보처리,중소기업,,
82,(주)드림와이즈,2022,서울,서울특별시 성동구 아차산로,0234312666,0269192898,정보처리,중소기업,,
83,(주)디앤에스테크놀로지,2021,서울,서울특별시 강서구 강서로,027713985,026-093-8823,통신기기,중소기업,,
84,(주)디에스랩글로벌,2021,서울,서울특별시 영등포구 의사당대로,02-1670-1728,,정보처리,중소기업,,
85,(주)디에스알브이랩스,2021,서울,서울특별시 강남구 봉은사로20길,070-4267-3108,,정보처리,중소기업,,
86,(주)디에이치로지스틱스,2021,서울,서울특별시 강서구 마곡중앙로,0234091255,0234611266,정보처리,중소기업,,
87,(주)디오에프연구소,2021,서울,서울특별시 성동구 성수일로,070-7566-0070,030334401827,기계,중소기업,치과용기기제조업,
88,(주)디와이지오텍,2021,서울,서울특별시 강서구 마곡중앙6로,0269336321,05044116321,정보처리,중소기업,,
89,(주)디지탈쉽,2015,서울,서울특별시 강남구 학동로20길,02-3446-4573,02-3446-4574,정보처리,중소기업,,
90,(주)디지털존마포지점,2019,서울,서울특별시 마포구 성암로,02-3151-0940,02-3153-7059,정보처리,중소기업,,
91,(주)딜리버리랩,2020,서울,서울특별시 성동구 아차산로9길,02-6925-0515,05043100550,정보처리,중소기업,,
92,(주)딥바이오,2021,서울,서울특별시 구로구 디지털로33길,07077033663,0226212223,정보처리,중소기업,,
93,(주)딥브레인에이아이,2019,서울,서울특별시 강남구 역삼로7길,02--858--5683,02-6716-8183,정보처리,중소기업,,
94,(주)딥센트,2020,서울,서울특별시 서초구 신반포로45길,070-4230-2094,0507-0816-508,전기,중소기업,,
95,(주)딥핑소스,2019,서울,서울특별시 강남구 언주로,010-8964-0613,070-4855-2255,정보처리,중소기업,,
96,(주)띵스플로우,2019,서울,서울특별시 성동구 성수이로20길,02-562-0097,,정보처리,중견기업,,
97,(주)라디안큐바이오,2015,서울,서울특별시 금천구 가산디지털2로,02-852-1122,02-6343-6430,기계,중소기업,,
98,(주)라이브메이커스,2021,서울,서울특별시 서초구 반포대로28길,022-088-1221,026954109,게임S/W,중소기업,,
99,(주)라이언로켓,2020,서울,서울특별시 중구 남대문로,02-6949-3063,050-4405-1863,정보처리,중소기업,,
100,(주)라이프사이언스테크놀로지,2015,서울,서울특별시 강서구 양천로,070-8620-8020,02-6968-5975,정보처리,중소기업,,
101,(주)라티스글로벌커뮤니케이션스,2020,서울,서울특별시 송파구 삼학사로,07082708500,0234314273,정보처리,중소기업,,
102,(주)라포랩스,2021,서울,서울특별시 강남구 테헤란로98길,021-644-9343,0220527792,정보처리,중소기업,,
103,(주)레디코리아,2019,서울,서울특별시 서초구 동광로,02-3466-5103,02-6455-5075,정보처리,중소기업,,
104,(주)레몬헬스케어,2021,서울,서울특별시 금천구 가산디지털1로,02-6278-1206,02-855-5816,정보처리,중소기업,,
105,(주)레전더리스,2016,서울,서울특별시 강남구 테헤란로,070-8680-0022,,정보처리,대기업,,
106,(주)로보티즈,2013,서울,서울특별시 강서구 마곡중앙5로1길,070-8671-2603,070-8230-1336,기계,중소기업,,
107,(주)루나소프트,2021,서울,서울특별시 강남구 테헤란로,070-5070-2027,0260082011,정보처리,중소기업,,
108,(주)루먼텍,2016,서울,서울특별시 금천구 가산디지털1로,02-6947-7412,02-6947-7440,통신기기,중소기업,,
109,(주)뤼이드,2017,서울,서울특별시 강남구 테헤란로,02-6929-1395,02-2135-9718,정보처리,중소기업,,
110,(주)리눅스데이타시스템,2018,서울,서울특별시 강남구 봉은사로114길,010-2878-1514,02-6207-1160,정보처리,중소기업,,
111,(주)리더스텍,2016,서울,서울특별시 금천구 디지털로10길,070-4322-2413,070-8280-0017,전자,중소기업,,
112,(주)리스트,2018,서울,서울특별시 강서구 화곡로,02-2632-5133,02-2632-5134,정보처리,중소기업,,
113,(주)리테일앤인사이트,2020,서울,서울특별시 강남구 테헤란로,025399510,025399335,정보처리,중소기업,,
114,(주)리틀송뮤직,2019,서울,서울특별시 광진구 천호대로,02-444-7411,02-6925-7204,정보처리,중소기업,,
115,(주)마이체크업,2001,서울,서울특별시 양천구 안양천로,02-2646-0050,02-2646-6816,정보처리,중소기업,,
116,(주)마켓디자이너스,2018,서울,서울특별시 강남구 테헤란로20길,02-518-0060,02-6455-2483,정보처리,중소기업,,
117,(주)맘편한세상,2020,서울,서울특별시 강남구 논현로85길,010-5009-2640,026-442-6180,정보처리,중소기업,,
118,(주)매그넘빈트,2013,서울,서울특별시 강남구 강남대로132길,02-568-1987,02-568-1984,정보처리,중소기업,,
119,(주)매드업,2019,서울,서울특별시 서초구 서초대로74길,02-6959-7245,0264427239,정보처리,중소기업,,
120,(주)매트릭스투비,2001,서울,서울특별시 구로구 디지털로34길,02-2028-0700,02-2028-0722,정보처리,벤처기업,기타소프트웨어자문,
121,(주)머니머신,2021,서울,서울특별시 구로구 디지털로33길,070-4820-2877,0507-080-1481,정보처리,중소기업,,
122,(주)메디메카,2019,서울,서울특별시 금천구 가산디지털2로,02-6953-9182,02-856-0238,철강,중소기업,,
123,(주)메쉬코리아,2017,서울,서울특별시 강남구 대치동 ,02-6380-8008,02-6380-8001,정보처리,중소기업,,
124,(주)메이아이,2020,서울,서울특별시 강남구 테헤란로82길,010-6395-3274,022-135-6803,정보처리,중소기업,,
125,(주)메인라인,2021,서울,서울특별시 마포구 양화로,02-712-9039,02-712-9007,정보처리,중소기업,,
126,(주)메타시스넷,2019,서울,서울특별시 금천구 가산디지털2로,07047570114,0264420420,정보처리,중소기업,,
127,(주)모노리스,2022,서울,서울특별시 영등포구 여의대로,01090081124,0502	64	310,정보처리,중소기업,,
128,(주)모니터랩,2015,서울,서울특별시 구로구 디지털로27가길,070-4633-2745,027490798,정보처리,중소기업,,
129,(주)모두싸인,2021,서울,서울특별시 강남구 봉은사로,070-5118-1226,051-783-1226,정보처리,중소기업,,
130,(주)모비젠,2021,서울,서울특별시 송파구 법원로,02-538-9360,02-538-9369,정보처리,중소기업,,
131,(주)모스티소프트,2020,서울,서울특별시 영등포구 여의나루로,02-769-1156,02-769-1157,정보처리,중소기업,,
132,(주)모젯,2010,서울,서울특별시 강남구 선릉로,070-4742-3225,02-400-6386,정보처리,중소기업,,
133,(주)무브인터렉티브,2017,서울,서울특별시 마포구 성암로,070-4740-7716,050-7555-0789,게임S/W,중소기업,,
134,(주)무한정보기술,2020,서울,서울특별시 영등포구 당산로2길,026-952-0825,026-952-0826,정보처리,중소기업,,
135,(주)뮤즈라이브,2020,서울,서울특별시 마포구 월드컵북로56길,023769775,023769776,정보처리,중소기업,,
136,(주)미드키스,2021,서울,서울특별시 강남구 도산대로19길,0234465957,0234465955,정보처리,중소기업,,
137,(주)미디어솔루션,2011,서울,서울특별시 마포구 양화로,02-324-9555,02-335-0598,정보처리,중소기업,,
138,(주)미리디,2018,서울,서울특별시 구로구 디지털로31길,02-6925-3691,000000000,정보처리,중소기업,,
139,(주)미소아이티,2020,서울,서울특별시 영등포구 영신로,025715514,0226559111,정보처리,중소기업,,
140,(주)미어캣게임즈,2019,서울,서울특별시 강남구 테헤란로,070-4335-0361,070-4687-8344,게임S/W,중소기업,,
141,(주)밋앤그릿,2022,서울,서울특별시 마포구 매봉산로,0221264777,0221264778,정보처리,중소기업,,
142,(주)바토너스 기업부설연구소,2021,서울,서울특별시 마포구 성미산로17길,010-2162-5515,050-4766-5659,정보처리,중소기업,,
143,(주)발란,2021,서울,서울특별시 강남구 도산대로,07043533787,0262542001,정보처리,중소기업,,
144,(주)백두테크놀로지스,2021,서울,서울특별시 강남구 언주로81길,010-5561-1993,030334450300,정보처리,중소기업,,
145,(주)밸로프,2017,서울,서울특별시 금천구 디지털로,07074629560,0220261077,게임S/W,중소기업,,
146,(주)뱅크런,2020,서울,서울특별시 강남구 논현로140길,021-661-0501,025571252,정보처리,중소기업,,
147,(주)베러웨이시스템즈,2019,서울,서울특별시 성동구 아차산로11길,070-4099-1711,02-6280-0515,화학,중소기업,,
148,(주)베어로보틱스코리아,2021,서울,서울특별시 성동구 성수일로,010-4689-3466,0200000000,정보처리,중소기업,,
149,(주)보이스루,2020,서울,서울특별시 강남구 강남대로,070-4282-3117,02-520-1592,정보처리,중소기업,,
150,(주)보이저엑스,2021,서울,서울특별시 서초구 서초대로38길,02-6377-8339,02-6411-0088,정보처리,중소기업,,
151,(주)부동산뱅크,1997,서울,서울특별시 서초구 효령로,02-2185-7213,02-565-6367,정보처리,중소기업,해당사항없음,
152,(주)뷰노,2018,서울,서울특별시 서초구 강남대로,02-515-6646,02-515-6647,정보처리,중소기업,,
153,(주)브레이브모바일,2021,서울,서울특별시 강남구 테헤란로,010-2042-6545,02-6000-9479,정보처리,중소기업,,
154,(주)브로드씨엔에스,2019,서울,서울특별시 구로구 디지털로,02-2038-2746,02-2038-2766,정보처리,중소기업,,
155,(주)블록크래프터스,2021,서울,서울특별시 서초구 강남대로,02-6941-3998,02-6442-3992,정보처리,중소기업,,
156,(주)블루데이타시스템즈,2019,서울,서울특별시 송파구 양재대로66길,024315118,024310118,정보처리,중소기업,,
157,(주)비덴트,2011,서울,서울특별시 금천구 가산디지털1로,070-8668-6616,02-6123-3201,전기,중소기업,,
158,(주)비바리퍼블리카,2015,서울,서울특별시 강남구 테헤란로,02-544-7056,02-6021-4901,정보처리,중소기업,,
159,(주)비비드펄,2015,서울,서울특별시 금천구 가산디지털1로,027627300,027627301,생활용품,중소기업,,
160,(주)비비비,2019,서울,서울특별시 강남구 테헤란로81길,02-565-9653,02-565-9654,의료의약,중소기업,,
161,(주)비아이엔솔루션,2020,서울,서울특별시 영등포구 양평로21길,070-7017-2820,0264992820,정보처리,중소기업,,
162,(주)비알씨테크,2020,서울,서울특별시 노원구 노원로15길,02-322-2927,02-365-7067,기계,중소기업,,
163,(주)비엔아이,2020,서울,서울특별시 금천구 가산디지털2로,023-443-7742,023-443-7743,정보처리,중소기업,,
164,(주)비엔에프아이디,1999,서울,서울특별시 중랑구 동일로,02-435-6600,02-435-6853,기계,중소기업,톱및호환성공구제조업,
165,(주)비오시스템즈,2012,서울,서울특별시 금천구 가산디지털1로,070-4170-0500,02-862-7101,정보처리,중소기업,,
166,(주)비욘드테크,2018,서울,서울특별시 금천구 가산디지털1로,026-290-1323,026-290-1390,정보처리,중소기업,,
167,(주)비전인사이드,2016,서울,서울특별시 동대문구 휘경로,02-521-0432,02-521-0428,정보처리,중소기업,,
168,(주)비즈니스캔버스,2021,서울,서울특별시 서초구 반포대로22길,010-2520-9377,022-135-3856,정보처리,중소기업,,
169,(주)비케이에스엔피,2011,서울,서울특별시 영등포구 선유로,02-2628-5695,02-2628-5696,정보처리,중소기업,,
170,(주)비타소프트,2020,서울,서울특별시 구로구 디지털로26길,02-365-6040,02-6455-6040,정보처리,중소기업,,
171,(주)비플렉스,2019,서울,서울특별시 서초구 강남대로,02-588-0373,,정보처리,중소기업,,
172,(주)빙글,2013,서울,서울특별시 서초구 서초중앙로,02-588-3810,025883831,정보처리,중소기업,,
173,(주)빛컨,2018,서울,서울특별시 금천구 가산디지털1로,02-859-4590,070-7878-9990,정보처리,중소기업,,
174,(주)사이버다임,2019,서울,서울특별시 송파구 올림픽로,025466990,025466992,정보처리,중소기업,,
175,(주)산호기계,2018,서울,서울특별시 금천구 벚꽃로38길,028645947,028688285,기계,중소기업,,
176,(주)삼원파워텍,2021,서울,서울특별시 도봉구 우이천로4다길,029926400,029036400,전기,중소기업,차량용조명및전기장치제조업,
177,(주)샤오링엔터테인먼트,2021,서울,서울특별시 마포구 양화로8길,02-6328-5000,07047402202,애니메이션,중소기업,,
178,(주)샤플앤컴퍼니,2021,서울,서울특별시 강남구 도곡로,02-552-0415,031-709-0415,정보처리,중소기업,,
179,(주)서경산업,2021,서울,서울특별시 용산구 한강대로88길,027944574,0269184574,전기,중소기업,,
180,(주)서광양행,2012,서울,서울특별시 동작구 여의대방로22카길,02-3273-6181,02-826-0936,통신기기,중소기업,,
181,(주)서남아이에스,2021,서울,서울특별시 금천구 디지털로,010-6635-7088,05052994459,정보처리,중소기업,,
182,(주)서야에프씨,2020,서울,서울특별시 중랑구 봉화산로,010-5095-6655,0264990721,섬유,중소기업,,
183,(주)세연테크,2013,서울,서울특별시 강서구 허준로,02-2192-6811,02-2659-0831,통신기기,중소기업,,
184,(주)세토피아,2021,서울,서울특별시 강남구 역삼로,0234978906,0234978959,정보처리,중소기업,,
185,(주)센드버드코리아,2018,서울,서울특별시 강남구 선릉로,02-555-4654,02-6008-4654,정보처리,중소기업,,
186,(주)센트비,2019,서울,서울특별시 강남구 테헤란로,070-8825-0373,02-2051-7677,정보처리,중소기업,그외기타금융관련서비스업,
187,(주)센티널테크놀로지,2017,서울,서울특별시 마포구 월드컵북로,02-525-5398,025255196,정보처리,중소기업,,
188,(주)셈웨어,2018,서울,서울특별시 관악구 관악로,028758838,0264558723,정보처리,중소기업,,
189,(주)소리를보는통로,2020,서울,서울특별시 성동구 연무장길,02-1661-0552,02-6937-0558,정보처리,중소기업,,
190,(주)소만사,2022,서울,서울특별시 영등포구 영신로,0226368300,0226559089,정보처리,중소기업,,
191,(주)소프트그래피,2021,서울,서울특별시 구로구 디지털로30길,0267385011,0267385010,정보처리,중소기업,,
192,(주)소프트닉스,2020,서울,서울특별시 강남구 선릉로93길,070-5213-7951,026-964-8029,게임S/W,중소기업,,
193,(주)소프트보울,2018,서울,서울특별시 서초구 반포대로,02-2038-3320,070-4232-7190,정보처리,중소기업,,
194,(주)소프트스퀘어드,2021,서울,서울특별시 마포구 마포대로10길,070-4001-4087,0504-495-4088,정보처리,중소기업,,
195,(주)소프트체인,2020,서울,서울특별시 구로구 디지털로31길,0220257650,0220257654,정보처리,중소기업,,
196,(주)소프트파워,2019,서울,서울특별시 마포구 성암로,02-557-7800,02-3153-7322,정보처리,중소기업,,
197,(주)소프트퓨전,2019,서울,서울특별시 영등포구 영신로,070-7124-9947,02-582-9917,정보처리,중소기업,,
198,(주)소하테크,2017,서울,서울특별시 노원구 노원로15길,02-978-0461,02-978-0463,전자,중소기업,,
199,(주)솔루게이트,2019,서울,서울특별시 금천구 가산디지털1로,070-8882-5252,070-4405-7835,정보처리,중소기업,,
200,(주)수산씨엠씨,2021,서울,서울특별시 송파구 송파대로,02-422-7575,02-430-7580,화학,중소기업,,
201,(주)수퍼트리,2019,서울,서울특별시 강남구 테헤란로104길,026-952-2530,026-952-2531,게임S/W,중소기업,,
202,(주)슈퍼박스,2020,서울,서울특별시 구로구 디지털로31길,070-8866-0980,05043656770,게임S/W,중소기업,,
203,(주)슈퍼솔루션,2015,서울,서울특별시 금천구 벚꽃로,070-4055-1407,02-2082-5543,통신기기,중소기업,,
204,(주)슈퍼플래닛,2017,서울,서울특별시 강남구 도산대로,02-6212-9221,02-6442-8027,게임S/W,중소기업,,
205,(주)스마트딥,2020,서울,서울특별시 금천구 가산디지털2로,07070998090,0232813371,정보처리,중소기업,,
206,(주)스마트잭,2021,서울,서울특별시 성동구 성수일로,02-498-3060,02-6280-9045,정보처리,중소기업,,
207,(주)스와치온,2021,서울,서울특별시 성동구 광나루로,070-4131-0069,02-6442-0069,정보처리,중소기업,,
208,(주)스윙크,2012,서울,서울특별시 서대문구 연세로,023648777,026-925-7257,정보처리,중소기업,,
209,(주)스코어스트리트,2021,서울,서울특별시 마포구 동교로,07077642574,07077632573,정보처리,중소기업,,
210,(주)스타텍코리아,2017,서울,서울특별시 강서구 양천로,02-6957-1796,026-957-1790,전자,중소기업,,
211,(주)스탠스,2020,서울,서울특별시 노원구 공릉로,02-949-2131,0303-3444-2131,정보처리,중소기업,,
212,(주)스토어링크 서울지점,2021,서울,서울특별시 중구 중림로,07047862112,07047862112,정보처리,중소기업,,
213,(주)스틸리언,2019,서울,서울특별시 용산구 원효로90길,02-2038-4792,0220384794,정보처리,중소기업,,
214,(주)스포카,2015,서울,서울특별시 강남구 테헤란로,070-7725-6458,02-544-6460,정보처리,중소기업,,
215,(주)스푼라디오,2020,서울,서울특별시 강남구 테헤란로,02-6204-0556,070-8233-4479,정보처리,중소기업,,
216,(주)시닉스레이,2021,서울,서울특별시 중랑구 봉화산로,07040998868,07048508855,기계,중소기업,의료용기기제조업,
217,(주)시큐레이어,2018,서울,서울특별시 성동구 성수일로4길,02-1800-6713,02--499--7605,정보처리,중소기업,,
218,(주)시큐리티허브,2021,서울,서울특별시 강남구 남부순환로,026-952-3951,029211467,정보처리,중소기업,,
219,(주)시큐브,2016,서울,서울특별시 구로구 디지털로26길,026-261-9306,026-261-9309,정보처리,중소기업,,
220,(주)시큐어가드테크놀러지,2018,서울,서울특별시 금천구 가산디지털1로,070-7425-9000,026-442-7425,정보처리,중소기업,,
221,(주)시큐에버,2021,서울,서울특별시 송파구 백제고분로9길,02-422-4638,02-422-4628,정보처리,중소기업,,
222,(주)시프트업,2017,서울,서울특별시 서초구 서초대로77길,02-2039-8849,02-2039-8969,게임S/W,중소기업,,
223,(주)식스샵,2021,서울,서울특별시 서초구 강남대로,0216446608,05040937254,정보처리,중소기업,,
224,(주)신화시스템,2020,서울,서울특별시 금천구 디지털로9길,02-521-3919,02-521-3935,전기,중소기업,,
225,(주)실비아헬스,2021,서울,서울특별시 강남구 영동대로85길,070-4264-8800,050-9322-6676,정보처리,중소기업,,
226,(주)싸이드워크엔터테인먼트,2022,서울,서울특별시 마포구 월드컵북로,07041170113,023040113,정보처리,중소기업,,
227,(주)싸이크로스,2017,서울,서울특별시 강남구 양재천로,02-579-2050,02-579-2250,정보처리,중소기업,,
228,(주)써머스플랫폼,2020,서울,서울특별시 금천구 가산디지털1로,027041301,0263543600,정보처리,중소기업,,
229,(주)쓰리알,1990,서울,서울특별시 도봉구 도봉로,02-3492-5171,02-3492-5170,기계,중소기업,해당사항없음,
230,(주)씨디컴,2013,서울,서울특별시 금천구 가산디지털2로,02-855-4100,02-6935-1435,화학,중소기업,,
231,(주)씨씨미디어서비스,2020,서울,서울특별시 구로구 가마산로25길,025016371,0262806371,정보처리,중소기업,,
232,(주)씨엔피테크,2002,서울,서울특별시 금천구 가산디지털2로,02-862-2555,02--859--5972,통신기기,벤처기업,기타사무,
